Cod CIM,Denumire comerciala,DCI,Forma farmaceutica,Concentratie,Firma / tara producatoare APP,Firma / tara detinatoare APP,Cod ATC,Actiune terapeutica,Prescriptie,Nr / data ambalaj APP,Ambalaj,Volum ambalaj,Valabilitate ambalaj,Bulina,Diez,Stea,Triunghi,Dreptunghi,Data actualizare
W43451001,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/01,Cutie cu 1 flac. din sticla bruna x 5 ml conc. pt. sol. inj./perf.,5 ml,2 ani,,,,,,06.03.26
W43451002,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/02,Cutie cu 5 flac. din sticla bruna x 5 ml conc. pt. sol. inj./perf.,5 ml,2 ani,,,,,,06.03.26
W43451003,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/03,Cutie cu 1 flac. din sticla bruna x 10 ml conc. pt. sol. inj./perf.,10 ml,2 ani,,,,,,06.03.26
W43451004,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/04,Cutie cu 5 flac. din sticla bruna x 10 ml conc. pt. sol. inj./perf.,10 ml,2 ani,,,,,,06.03.26
W43451005,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/05,Cutie cu 1 flac. din sticla bruna x 20 ml conc. pt. sol. inj./perf.,20 ml,2 ani,,,,,,06.03.26
W43451006,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/06,Cutie cu 1 flac. din sticla bruna x 100 ml conc. pt. sol. inj./perf.,100 ml,2 ani,,,,,,06.03.26
W70067001,ABACAVIR AUROBINDO 300 mg,ABACAVIRUM,COMPR. FILM.,300mg,APL SWIFT SERVICES (MALTA) LIMITED - MALTA,AUROBINDO PHARMA (MALTA) LIMITED - MALTA,J05AF06,ANTIVIRALE CU ACTIUNE DIRECTA INHIB. NUCLEOZIDICI SI NUCLEOTIDICI AI REVERSTRANSCRIPTAZEI,PR,15483/2024/01,Cutie cu blist. transparent PVC/Al x 60 compr. film.,,3 ani,,,,,,06.03.26
W68224001,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/01,Cutie cu blist. PVC-Aclar/Al x 30 compr. film.,,2 ani,,,,,,06.03.26
W68224002,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/02,Cutie cu blist. PVC-Aclar/Al x 60 compr. film.,,2 ani,,,,,,06.03.26
W68224003,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/03,Cutie cu blist. PVC-Aclar/Al x 90 compr. film.,,2 ani,,,,,,06.03.26
W68224004,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/04,Cutie cu blist. PVC-PVDC/Al x 30 compr. film.,,2 ani,,,,,,06.03.26
W68224005,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/05,Cutie cu blist. PVC-PVDC/Al x 60 compr. film.,,2 ani,,,,,,06.03.26
W68224006,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/06,Cutie cu blist. PVC-PVDC/Al x 90 compr. film.,,2 ani,,,,,,06.03.26
W68224007,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/07,Cutie cu 1 flac. din PEID cu capac din PP prevazut cu sistem de inchidere securizat pentru copii si pliculet desicant cu carbune activ x 30 compr. film.,,2 ani,,,,,,06.03.26
W68224008,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/08,Cutie cu 1 flac. din PEID cu capac din PP prevazut cu sistem de inchidere securizat pentru copii si pliculet desicant cu carbune activ si absorbant de oxigen x 30 compr. film.,,2 ani,,,,,,06.03.26
W66762001,ABACAVIR/LAMIVUDINA STADA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,REMEDICA LTD - CIPRU,STADA M&D S.R.L. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,13677/2021/01,Cutie cu blist. PVC-PE-PVDC/Al x 30 compr.,,4 ani,,,,,,06.03.26
W66762002,ABACAVIR/LAMIVUDINA STADA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,REMEDICA LTD - CIPRU,STADA M&D S.R.L. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,13677/2021/02,Cutie cu blist. PVC-PE-PVDC/Al x 90 (3x30) compr.,,4 ani,,,,,,06.03.26
W66762003,ABACAVIR/LAMIVUDINA STADA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,REMEDICA LTD - CIPRU,STADA M&D S.R.L. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,13677/2021/03,Cutie cu 1 flac. PEID x 30 compr.,,4 ani,,,,,,06.03.26
W65906001,ABACAVIR/LAMIVUDINA TERAPIA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,S.C. TERAPIA S.A. - ROMANIA,TERAPIA S.A. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16052/2025/01,Cutie cu 1 flac. din PEID cu capac din PP si sistem de inchidere securizat pentru copii x 30 compr. film.,,30 luni; Dupa prima deschidere a flac - 100 zile,,,,,,06.03.26
W65906002,ABACAVIR/LAMIVUDINA TERAPIA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,S.C. TERAPIA S.A. - ROMANIA,TERAPIA S.A. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16052/2025/02,Cutie cu 1 flac. din PEID cu capac din PP si sistem de inchidere securizat pentru copii x 90 compr. film.,,30 luni; Dupa prima deschidere a flac - 100 zile,,,,,,06.03.26
W65906003,ABACAVIR/LAMIVUDINA TERAPIA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,S.C. TERAPIA S.A. - ROMANIA,TERAPIA S.A. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16052/2025/03,Cutie cu blist. triplu (Triplex) din PVC-PE-PVDC/Al x 30 compr. film,,30 luni,,,,,,06.03.26
W65906004,ABACAVIR/LAMIVUDINA TERAPIA 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,S.C. TERAPIA S.A. - ROMANIA,TERAPIA S.A. - ROMANIA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16052/2025/04,Cutie cu blist. format la rece din PVC-PA/Al x 30 compr. film,,30 luni,,,,,,06.03.26
W69243001,ABACAVIR/LAMIVUDINA VIATRIS 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN HUNGARY KFT - UNGARIA,VIATRIS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16084/2025/01,Cutie cu blist. PVC-PVDC/Al x 30 compr. film.,,2 ani,,,,,,06.03.26
W69243002,ABACAVIR/LAMIVUDINA VIATRIS 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN HUNGARY KFT - UNGARIA,VIATRIS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16084/2025/02,Cutie cu blist. perforate pt. eliberarea unei unitati dozate PVC-PVDC/Al x 30x1 compr. film.,,2 ani,,,,,,06.03.26
W69243003,ABACAVIR/LAMIVUDINA VIATRIS 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN HUNGARY KFT - UNGARIA,VIATRIS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16084/2025/03,Cutie cu blist. PVC-PVDC/Al x 90 compr. film.,,2 ani,,,,,,06.03.26
W69243004,ABACAVIR/LAMIVUDINA VIATRIS 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN HUNGARY KFT - UNGARIA,VIATRIS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16084/2025/04,Ambalaj multiplu cu blist. PVC-PVDC/Al x 90 (3x30) compr. film.,,2 ani,,,,,,06.03.26
W69243005,ABACAVIR/LAMIVUDINA VIATRIS 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN HUNGARY KFT - UNGARIA,VIATRIS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,16084/2025/05,Cutie cu 1 flac. PEID x 30 compr. film.,,2 ani;dupa prima deschidere a flac:90 zile,,,,,,06.03.26
W65161001,ABASAGLAR,INSULINUM GLARGINE,SOL. INJ.,100UI/ml,LILLY FRANCE S.A.S - FRANTA,ELI LILLY NEDERLAND B.V. - OLANDA,A10AE04,"INSULINE SI ALTE PREPARATE PARENTERALE INSULINE SI ANALOGI CU ACTIUNE DE LUNGA DURATA, INJECTABILE",PRF,944/2014/09,ambalaj x10 cartuse (2 cutii x5 cartuse) a 3ml,,2 ani,,,,X,,06.03.26
W65160002,ABASAGLAR,INSULINUM GLARGINE,SOL. INJ. IN STILOU INJECTOR (PEN) PREUMPLUT,100UI/ml,LILLY FRANCE S.A.S - FRANTA,ELI LILLY NEDERLAND B.V. - OLANDA,A10AE04,"INSULINE SI ALTE PREPARATE PARENTERALE INSULINE SI ANALOGI CU ACTIUNE DE LUNGA DURATA, INJECTABILE",PRF,944/2014/13,ambalaj x10 stilouri pre-umplute/pen (2 cutii x 5 pen) a 3ml  dozaj 80U,,2 ani,,,,X,,06.03.26
W69799001,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/01,Cutie cu blist. PVC-PVDC/Al x 10 compr. film.,,3 ani,,,,,,06.03.26
W69799002,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/02,Cutie cu blist. PVC-PVDC/Al x 12 compr. film.,,3 ani,,,,,,06.03.26
W69799003,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/03,Cutie cu blist. PVC-PVDC/Al x 14 compr. film.,,3 ani,,,,,,06.03.26
W69799004,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/04,Cutie cu blist. PVC-PVDC/Al x 20 compr. film.,,3 ani,,,,,,06.03.26
W69799005,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/05,Cutie cu blist. PVC-PVDC/Al x 28 compr. film.,,3 ani,,,,,,06.03.26
W69799006,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/06,Cutie cu blist. PVC-PVDC/Al x 30 compr. film.,,3 ani,,,,,,06.03.26
W69799007,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/07,Cutie cu blist. PVC-PVDC/Al x 56 compr. film.,,3 ani,,,,,,06.03.26
W69799008,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/08,Cutie cu blist. PVC-PVDC/Al x 60 compr. film.,,3 ani,,,,,,06.03.26
W69799009,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/09,Cutie cu blist. PVC-PVDC/Al x 100 compr. film.,,3 ani,,,,,,06.03.26
W69799010,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/10,Cutie cu blist. PVC-PVDC/Al x 168 compr. film.,,3 ani,,,,,,06.03.26
W69799011,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/11,Cutie cu blist. PVC-PVDC/Al x 180 compr. film.,,3 ani,,,,,,06.03.26
W69799012,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/12,Cutie cu blist. PVC-PVDC/Al x 200 compr. film.,,3 ani,,,,,,06.03.26
W69799013,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/13,Cutie cu blist. unidoza PVC-PVDC/Al x 20x1 compr. film.,,3 ani,,,,,,06.03.26
W69799014,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/14,Cutie cu blist. unidoza PVC-PVDC/Al x 60x1 compr. film.,,3 ani,,,,,,06.03.26
W69799015,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/15,Cutie cu blist. unidoza PVC-PVDC/Al x 100x1 compr. film.,,3 ani,,,,,,06.03.26
W69799016,"ABATIXENT 2,5 mg",APIXABANUM,COMPR. FILM.,"2,5mg",LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14149/2021/16,Cutie cu blist. unidoza PVC-PVDC/Al x 168x1 compr. film.,,3 ani,,,,,,06.03.26
W69800001,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/01,Cutie cu blist. PVC-PVDC/Al x 10 compr. film.,,3 ani,,,,,,06.03.26
W69800002,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/02,Cutie cu blist. PVC-PVDC/Al x 12 compr. film.,,3 ani,,,,,,06.03.26
W69800003,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/03,Cutie cu blist. PVC-PVDC/Al x 14 compr. film.,,3 ani,,,,,,06.03.26
W69800004,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/04,Cutie cu blist. PVC-PVDC/Al x 20 compr. film.,,3 ani,,,,,,06.03.26
W69800005,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/05,Cutie cu blist. PVC-PVDC/Al x 28 compr. film.,,3 ani,,,,,,06.03.26
W69800006,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/06,Cutie cu blist. PVC-PVDC/Al x 30 compr. film.,,3 ani,,,,,,06.03.26
W69800007,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/07,Cutie cu blist. PVC-PVDC/Al x 56 compr. film.,,3 ani,,,,,,06.03.26
W69800008,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/08,Cutie cu blist. PVC-PVDC/Al x 60 compr. film.,,3 ani,,,,,,06.03.26
W69800009,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/09,Cutie cu blist. PVC-PVDC/Al x 100 compr. film.,,3 ani,,,,,,06.03.26
W69800010,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/10,Cutie cu blist. PVC-PVDC/Al x 168 compr. film.,,3 ani,,,,,,06.03.26
W69800011,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/11,Cutie cu blist. PVC-PVDC/Al x 180 compr. film.,,3 ani,,,,,,06.03.26
W69800012,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/12,Cutie cu blist. PVC-PVDC/Al x 200 compr. film.,,3 ani,,,,,,06.03.26
W69800013,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/13,Cutie cu blist. unidoza PVC-PVDC/Al x 20x1 compr. film.,,3 ani,,,,,,06.03.26
W69800014,ABATIXENT 5 mg,APIXABANUM,COMPR. FILM.,5mg,LEK PHARMACEUTICALS D.D. - SLOVENIA,SANDOZ PHARMACEUTICALS S.R.L. - ROMANIA,B01AF02,AGENTI ANTITROMBOTICI INHIBITORI DIRECTI AI FACTORULUI XA,PRF,14150/2021/14,Cutie cu blist. unidoza PVC-PVDC/Al x 60x1 compr. film.,,3 ani,,,,,,06.03.26
