Cod CIM,Denumire comerciala,DCI,Forma farmaceutica,Concentratie,Firma / tara producatoare APP,Firma / tara detinatoare APP,Cod ATC,Actiune terapeutica,Prescriptie,Nr / data ambalaj APP,Ambalaj,Volum ambalaj,Valabilitate ambalaj,Bulina,Diez,Stea,Triunghi,Dreptunghi,Data actualizare
W41890001,FLOXAL 3 mg/g,OFLOXACINUM,UNG. OFT.,3mg/g,DR. GERHARD MANN CHEM-PHARM. FABRIK GMBH - GERMANIA,DR. GERHARD MANN CHEM-PHARM. FABRIK GMBH - GERMANIA,S01AE01,ANTIINFECTIOASE ANTIINFECTIOASE,P6L,8456/2015/01,"Cutie cu 1 tub din Al laminat, cu dop prevazut cu varf aplicator din PEID si capac din PEID x 3 g unguent",,3 ani-dupa ambalarea pt. comercializare; dupa prima deschidere a tubului-6 saptamani,,,,,,06.03.26
W41891001,FLOXAL 3 mg/ml,OFLOXACINUM,"PICATURI OFT., SOL.",3mg/ml,DR. GERHARD MANN CHEM-PHARM. FABRIK GMBH - GERMANIA,DR. GERHARD MANN CHEM-PHARM. FABRIK GMBH - GERMANIA,S01AE01,ANTIINFECTIOASE ANTIINFECTIOASE,P6L,8455/2015/01,"Cutie cu 1 flacon picurator din PEJD x 5 ml picaturi oft., sol.",,3 ani-dupa ambalarea pt. comercializare; dupa prima deschidere a flac.: 6 saptamani,,,,,,06.03.26
W03207001,FLUANXOL DEPOT,FLUPENTIXOLUM,SOL. INJ.,20mg/ml,H. LUNDBECK EXPORT A/S - DANEMARCA,H. LUNDBECK A/S - DANEMARCA,N05AF01,ANTIPSIHOTICE DERIVATI DE TIOXANTENE,PRF,11433/2019/01,Cutie x 10 fiole din sticla incolora x 1 ml sol. inj.,1 ml,4 ani,,,,,,06.03.26
W53943002,FLUCONAZOL ARENA 150 mg,FLUCONAZOLUM,CAPS.,150mg,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PRF,12786/2019/01,Cutie cu 1 blist. PVC/Al x 1 caps.,,3 ani,,,,,,06.03.26
W57368001,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/01,"Cutie cu 1 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 50 ml sol. perf.",50ml,4 ani,,,,,,06.03.26
W57368002,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/02,"Cutie cu 50 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 50 ml sol. perf.",50ml,4 ani,,,,,,06.03.26
W57368003,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/03,"Cutie cu 1 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 100 ml sol. perf.",100ml,4 ani,,,,,,06.03.26
W57368004,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/04,"Cutie cu 50 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 100 ml sol. perf.",100ml,4 ani,,,,,,06.03.26
W57368005,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/05,"Cutie cu 1 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 200 ml sol. perf.",200ml,4 ani,,,,,,06.03.26
W57368006,FLUCONAZOL ARENA 2mg/ml,FLUCONAZOLUM,SOL. PERF.,2mg/ml,ARENA GROUP S.A. - ROMANIA,ARENA GROUP S.A. - ROMANIA,J02AC01,ANTIMICOTICE DE UZ SISTEMIC DERIVATI DE TRIAZOL SI TETRAZOL,PR,7724/2015/06,"Cutie cu 50 flac. din sticla incolora, prevazut cu sistem de protectie tip \""flip-off\"" x 200 ml sol. perf.",200ml,4 ani,,,,,,06.03.26
